,date,adjclose,open,high,low,volume,rsi,stoch,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,macd,macddiff,volatility_atr,volatility_bbm,volatility_bbl,volatility_bbh,volatility_bbw,volatility_kch,volatility_kcl,volatility_kcw,williamr,ichibaseline,ichiconversionline,ichilinea,ichilineb,ema200,volatility_bbm_3,volatility_bbl_3,volatility_bbh_3,volatility_kch_3,volatility_kcl_3,volatility_kcw_3,ichiconversionline_3,signal
0,1/2/2007,750,775,775,750,7590,,,,,,,,0,,,,,783.3333333,733.3333333,,,,,762.5,,,,,,,,,,0
1,1/3/2007,735,750,750,731,12390,,,,,,,,0,,,,,770.5,726.5,,,,,753,,,,,,,,,,0
2,1/4/2007,745,735,760,745,6940,,,,,,,,0,,,,,768.6666667,729.3333333,,,,,753,,,,,,,,,,0
3,1/7/2007,790,745,790,780,300,,,,,,,,0,,,,,775.6666667,741.1666667,,,,,760.5,,,,,,,,,,0
4,1/8/2007,817,790,820,800,10610,,,,,,,,0,,,,,787,751.4,,,,,775.5,,,,,,,,,,0
5,1/9/2007,816,817,816,816,6250,,,,,,,,0,,,,,791.8333333,762.1666667,,,,,775.5,,,,,,,,,,0
6,1/10/2007,775,816,804,771,2560,,,,,,,,0,,,,,795.3333333,760.4761905,,,,,775.5,,,,,,,,,,0
7,1/11/2007,800,775,816,780,9130,,,,,,,,0,,,,,800.25,760.75,,,,,775.5,,,,,,,,,,0
8,1/17/2007,780,800,780,770,1610,,,,,,,,0,,,,,798.7407407,761.4074074,,,,775.5,775.5,,,,,,,,,,0
9,1/18/2007,790,780,800,790,2270,,,,,,,,28.1,,,,,799.2,763.6,4.555925262,,,775.5,775.5,,,,,,,,,,0
10,1/21/2007,790,790,800,790,1350,,,,,,,,26.29,,,,,801.2,768.6,4.153395337,,,782.5,775.5,,,,,,,,,,0
11,1/25/2007,788,790,790,788,400,,,,,,,,23.861,,,,,804.5,775.3,3.696670465,,,795,775.5,,,,,,,,,,0
12,1/28/2007,756,788,760,756,4170,,,,,,,,24.6749,,,,,804.1333333,777.1333333,3.414983768,,,788,775.5,,,,,,,,,,0
13,1/29/2007,745,756,750,745,2860,41.97093012,15.73033708,,,,,,23.30741,,,,,799.6333333,773.6333333,3.305224798,-84.26966292,,780.5,775.5,,,,,,,,,,0
14,1/31/2007,746,745,746,740,2910,42.38305146,16.85393258,,,,,,21.576669,,,,,791.4,768.2,2.975121826,-83.14606742,,778,775.5,,,,,,,,,,0
15,2/1/2007,751,746,751,751,400,44.50525032,13.75,,,,,,19.9190021,,,,,784.9,761.7,3.000129316,-86.25,,778,775.5,,,,,,,,,,0
16,2/4/2007,780,751,780,755,3340,54.88466158,50,,,,-1.50675174,,20.82710189,,,,,782.9333333,761.3333333,2.79744431,-50,,770,775.5,,,,,,,,,,0
17,2/5/2007,800,780,800,780,6010,60.38731082,75,,,,2.377131097,,20.7443917,,,,,780.8,762.4,2.384655262,-25,,770,775.5,,,,,,,,,,0
18,2/6/2007,790,800,800,790,2530,56.66576754,65.78947368,,,,3.892478957,,19.66995253,,,,,782.4666667,764.0666667,2.379515475,-34.21052632,,770,775.5,,,,,,,,,,0
19,2/7/2007,798,790,800,790,4010,58.85058768,76.31578947,,,,5.732905158,,18.70295728,777.1,727.9923631,826.2076369,12.63869177,782.7333333,764.3333333,2.378695165,-23.68421053,,770,775.5,,,,,,,,,,0
20,2/8/2007,805,798,805,800,1680,60.71689487,85.52631579,,,,7.641523144,,17.53266155,779.85,730.9612487,828.7387513,12.5379884,783.2333333,765.8333333,2.24651403,-14.47368421,,772.5,775.5,,,,,,,,,,0
21,2/11/2007,805,805,805,805,5000,60.71689487,100,,,,8.772381922,,15.7793954,783.35,737.9043181,828.7956819,11.60290595,784.6666667,767.6666667,2.190251235,0,,772.5,775.5,,,,,,,,,,0
