,date,adjclose,open,high,low,volume,rsi,stoch,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,macd,macddiff,volatility_atr,volatility_bbm,volatility_bbl,volatility_bbh,volatility_bbw,volatility_kch,volatility_kcl,volatility_kcw,williamr,ichibaseline,ichiconversionline,ichilinea,ichilineb,ema200,volatility_bbm_3,ichiconversionline_3,volatility_bbh_3,volatility_bbl_3,volatility_kch_3,volatility_kcl_3,volatility_kcw_3,signal
0,7/1/2007,115,110,115,115,20,,,,,,,,0,,,,,115,115,,,,,115,,,,,,,,,,0
1,7/2/2007,120,115,120,120,30,,,,,,,,0,,,,,117.5,117.5,,,,,117.5,,,,,,,,,,0
2,7/3/2007,126,120,126,126,30,,,,,,,,0,,,,,120.3333333,120.3333333,,,,,120.5,,,,,,,,,,0
3,7/4/2007,132,126,132,132,20,,,,,,,,0,,,,,123.25,123.25,,,,,123.5,,,,,,,,,,0
4,7/5/2007,138,132,138,138,20,,,,,,,,0,,,,,126.2,126.2,,,,,126.5,,,,,,,,,,0
5,7/9/2007,144,138,144,144,20,,,,,,,,0,,,,,129.1666667,129.1666667,,,,,129.5,,,,,,,,,,0
6,7/10/2007,151,144,151,151,20,,,,,,,,0,,,,,132.2857143,132.2857143,,,,,133,,,,,,,,,,0
7,7/11/2007,156,151,156,156,20,,,,,,,,0,,,,,135.25,135.25,,,,,135.5,,,,,,,,,,0
8,8/14/2007,156,156,156,156,940,,,,,,,,0,,,,,137.5555556,137.5555556,,,,135.5,135.5,,,,,,,,,,0
9,2/6/2008,159,159,159,159,160,,,,,,,,4.4,,,,,139.7,139.7,0,,,139.5,137,,,,,,,,,,0
10,3/13/2008,166,166,166,166,90,,,,,,,,4.66,,,,,144.8,144.8,0,,,146,140.5,,,,,,,,,,0
11,6/30/2008,175,169,175,169,158,,,,,,,,5.094,,,,,150.7,149.5,0.799467022,,,153.5,145,,,,,,,,,,0
12,9/10/2008,178,178,178,178,40,,,,,,,,4.8846,,,,,155.9,154.7,0.772698004,,,158,146.5,,,,,,,,,,0
13,9/11/2008,181,181,181,181,60,100,100,,,,,,4.69614,,,,,160.8,159.6,0.74906367,0,,162.5,148,,,,,,,,,,0
14,12/22/2008,187,184,187,184,273,100,100,,,,,,4.826526,,,,,165.9,164.1,1.090909091,0,,169,151,,,,,,,,,,0
15,1/18/2009,205,190,205,190,546,100,100,,,,,,6.1438734,,,,,173,168.2,2.813599062,0,,180.5,160,,,,,,,,,,0
16,1/19/2009,217,209,217,209,273,100,100,,,,20.0989709,,6.72948606,,,,,180.1333333,173.7333333,3.617181613,0,,186.5,166,,,,,,,,,,0
17,3/22/2009,225,221,225,221,156,100,100,,,,22.12922158,,6.856537454,,,,,187.3,180.1,3.91943386,0,,192,170,,,,,,,,,,0
