,date,adjclose,open,high,low,volume,rsi,stoch,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,macd,macddiff,volatility_atr,volatility_bbm,volatility_bbl,volatility_bbh,volatility_bbw,volatility_kch,volatility_kcl,volatility_kcw,williamr,ichibaseline,ichiconversionline,ichilinea,ichilineb,ema200
0,7/17/2003,204.41,204.41,204.41,204.41,,,,,,,,,0,,,,,204.41,204.41,,,,,204.41,,
1,7/18/2003,204.31,204.31,204.31,204.31,,,,,,,,,0,,,,,204.36,204.36,,,,,204.36,,
2,7/21/2003,203.69,203.69,203.69,203.69,,,,,,,,,0,,,,,204.1366667,204.1366667,,,,,204.05,,
3,7/22/2003,203.56,203.56,203.56,203.56,,,,,,,,,0,,,,,203.9925,203.9925,,,,,203.985,,
4,7/23/2003,203.54,203.54,203.54,203.54,,,,,,,,,0,,,,,203.902,203.902,,,,,203.975,,
5,7/24/2003,203.29,203.29,203.29,203.29,,,,,,,,,0,,,,,203.8,203.8,,,,,203.85,,
6,7/25/2003,203.19,203.19,203.19,203.19,,,,,,,,,0,,,,,203.7128571,203.7128571,,,,,203.8,,
7,7/28/2003,203.37,203.37,203.37,203.37,,,,,,,,,0,,,,,203.67,203.67,,,,,203.8,,
8,7/29/2003,202.98,202.98,202.98,202.98,,,,,,,,,0,,,,,203.5933333,203.5933333,,,,203.695,203.695,,
9,7/30/2003,202.77,202.77,202.77,202.77,,,,,,,,,0.2,,,,,203.511,203.511,0,,,203.54,203.59,,
10,7/31/2003,202.95,202.95,202.95,202.95,,,,,,,,,0.198,,,,,203.365,203.365,0,,,203.23,203.59,,
11,8/1/2003,202.69,202.69,202.69,202.69,,,,,,,,,0.2042,,,,,203.203,203.203,0,,,203.125,203.55,,
12,8/4/2003,202.7,202.7,202.7,202.7,,,,,,,,,0.18478,,,,,203.104,203.104,0,,,203.115,203.55,,
13,8/5/2003,202.83,202.83,202.83,202.83,,24.40951704,8.139534884,,,,,,0.179302,,,,,203.031,203.031,0,-91.86046512,,203.03,203.55,,
14,8/6/2003,202.75,202.75,202.75,202.75,,23.18679622,3.703703704,,,,,,0.1693718,,,,,202.952,202.952,0,-96.2962963,,203.03,203.55,,
15,8/7/2003,203.57,203.57,203.57,203.57,,50.53686028,88,,,,,,0.23443462,,,,,202.98,202.98,0,-12,,203.13,203.55,,
16,8/8/2003,204.44,204.44,204.44,204.44,,64.84070321,100,,,,-0.063267105,,0.297991158,,,,,203.105,203.105,0,0,,203.565,203.565,,
17,8/11/2003,205.63,205.63,205.63,205.63,,75.34366807,100,,,,0.194374543,,0.387192042,,,,,203.331,203.331,0,0,,204.16,204.16,,
18,8/13/2003,206.21,206.21,206.21,206.21,,78.68568621,100,,,,0.432142237,,0.406472838,,,,,203.654,203.654,0,0,,204.45,204.45,,
19,8/14/2003,206.57,206.57,206.57,206.57,,80.456384,100,,,,0.625854661,,0.401825554,203.7725,201.5007089,206.0442911,2.229732808,204.034,204.034,0,0,,204.63,204.63,,
20,8/15/2003,207.92,207.92,207.92,207.92,,85.36603866,100,,,,0.894326099,,0.496642999,203.948,201.0502588,206.8457412,2.841647076,204.531,204.531,0,0,,205.31,205.305,,
21,8/18/2003,208.52,208.52,208.52,208.52,,86.93675985,100,,,,1.124520522,,0.506978699,204.1585,200.6408174,207.6761826,3.446031018,205.114,205.114,0,0,,205.635,205.605,,
