,date,adjclose,open,high,low,volume,rsi,stoch,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,macd,macddiff,volatility_atr,volatility_bbm,volatility_bbl,volatility_bbh,volatility_bbw,volatility_kch,volatility_kcl,volatility_kcw,williamr,ichibaseline,ichiconversionline,ichilinea,ichilineb,ema200,volatility_bbm_3,volatility_bbh_3,volatility_bbl_3,volatility_kch_3,volatility_kcl_3,volatility_kcw_3,ichiconversionline_3,signal
0,3/24/2019,418,464,464,418,3920,,,,,,,,0,,,,,479.3333333,387.3333333,,,,,441,,,,,,,,,,0
1,3/25/2019,377,398,398,377,90,,,,,,,,0,,,,,442.1666667,375.1666667,,,,,420.5,,,,,,,,,,0
2,3/26/2019,340,359,359,340,500,,,,,,,,0,,,,,416.5555556,359.2222222,,,,,402,,,,,,,,,,0
3,3/27/2019,340,323,350,306,170472,,,,,,,,0,,,,,406.4166667,341.4166667,,,,,385,,,,,,,,,,0
4,3/28/2019,333,323,353,323,78450,,,,,,,,0,,,,,398.4,334.4,,,,,385,,,,,,,,,,0
5,3/31/2019,325,335,335,323,32407,,,,,,,,0,,,,,388.6111111,331.2777778,,,,,385,,,,,,,,,,0
6,4/1/2019,330,323,332,321,31990,,,,,,,,0,,,,,381.4761905,329.1904762,,,,,385,,,,,,,,,,0
7,4/2/2019,329,327,336,325,38720,,,,,,,,0,,,,,376.4166667,327.9166667,,,,,385,,,,,,,,,,0
8,4/3/2019,325,327,329,324,18011,,,,,,,,0,,,,,371.3703704,327.1481481,,,,385,385,,,,,,,,,,0
9,4/4/2019,321,330,330,320,33290,,,,,,,,24.7,,,,,367.6,325.8,12.05653303,,,352,385,,,,,,,,,,0
10,4/7/2019,320,319,322,318,14305,,,,,,,,22.63,,,,,352.0666667,318.6666667,9.959248584,,,332.5,385,,,,,,,,,,0
11,4/8/2019,329,322,330,320,53402,,,,,,,,21.367,,,,,345.2,314,9.466019417,,,329.5,385,,,,,,,,,,0
12,4/9/2019,310,323,323,308,14810,,,,,,,,21.3303,,,,,341.5333333,311.1333333,9.315628192,,,330.5,385,,,,,,,,,,0
13,4/10/2019,308,305,311,305,14774,13.62596549,1.886792453,,,,,,19.79727,,,,,335.3333333,312.5333333,7.038485285,-98.11320755,,320.5,384.5,,,,,,,,,,0
14,4/11/2019,306,307,310,306,16100,13.2634103,1.075268817,,,,,,18.217543,,,,,329.8333333,312.2333333,5.48229675,-98.92473118,,320.5,384.5,,,,,,,,,,0
15,4/15/2019,308,304,308,304,4335,15.679563,7.272727273,,,,,,16.7957887,,,,,326.9333333,310.9333333,5.016722408,-92.72727273,,320,384,,,,,,,,,,0
16,4/16/2019,311,308,312,307,14905,19.31047032,14.28571429,,,,-18.16126146,,15.61620983,,,,,324.5666667,309.7666667,4.666316343,-85.71428571,,317,384,,,,,,,,,,0
17,4/17/2019,305,316,316,305,19531,17.67150235,2.040816327,,,,-17.33035128,,15.15458885,,,,,322.4333333,307.6333333,4.697915564,-97.95918367,,317,384,,,,,,,,,,0
18,4/18/2019,309,305,310,300,17750,22.40009834,25,,,,-15.8835405,,14.63912996,,,,,320.9666667,305.1666667,5.046848382,-75,,315,382,,,,,,,,,,0
19,4/21/2019,305,311,311,303,18065,21.0952745,13.88888889,,,,-14.93553452,,13.97521697,327.45,274.0441014,380.8558986,32.61926923,319.0333333,303.6333333,4.946466809,-86.11111111,,315,382,,,,,,,,,,0
20,4/22/2019,305,305,311,304,20035,21.0952745,13.88888889,,,,-13.91134435,,13.27769527,321.8,287.3697807,356.2302193,21.39852038,318,302,5.161290323,-86.11111111,,311.5,382,,,,,,,,,,0
21,4/23/2019,310,306,311,305,23310,27.23962872,33.33333333,,,,-12.30421671,,12.54992574,318.45,294.8070306,342.0929694,14.84877962,315.8333333,300.6333333,4.93132908,-66.66666667,,308,382,,,,,,,,,,0
22,4/24/2019,307,306,311,305,22930,25.93468969,23.33333333,,,,-11.22264164,,11.89493317,316.8,294.858259,338.741741,13.85210924,314.3333333,300.9333333,4.355834868,-76.66666667,,308,382,,,,,,,,,,0
23,4/25/2019,310,306,311,306,20838,29.56832819,33.33333333,,,,-9.864450436,,11.20543985,315.3,295.9598862,334.6401138,12.26775373,314.3333333,301.1333333,4.289428076,-66.66666667,,308,382,,,,,,,,,,0
24,4/28/2019,324,310,332,310,45502,43.49906199,75,,,,-7.126331816,5.298725706,12.28489587,314.85,296.8025625,332.8974375,11.46414959,317.6,300.8,5.433376455,-25,,316,382,,,,,,,,,,0
25,4/29/2019,320,323,328,316,28956,41.00363432,62.5,,,,-5.50179717,5.538608282,12.25640628,314.6,296.98864,332.21136,11.19603304,319.8666667,301.4666667,5.922746781,-37.5,382,316,382,349,,,,,,,,,0
26,4/30/2019,328,319,330,316,22059,47.4916002,87.5,1,,,-3.353926374,6.149183263,12.43076565,314.5,297.2199537,331.7800463,10.98890067,322.2333333,302.0333333,6.471593336,-12.5,349,316,382,332.5,,,,,,,,,0
27,5/2/2019,344,322,349,322,74542,57.54713143,89.79591837,1,,,-0.008387888,7.595777399,13.88768909,315.25,294.5533819,335.9466181,13.13028903,326.8,303.4,7.4262139,-10.20408163,329.5,326,382,327.75,,,,,,,,,0
28,5/5/2019,358,346,372,338,125495,64.03686054,80.55555556,1,1,,3.860339655,9.171603953,15.89892018,316.9,289.2601737,344.5398263,17.44387904,334.1666667,305.9666667,8.810664445,-19.44444444,336,338,382,337,,,,,,,,,0
29,5/6/2019,388,375,393,355,132126,73.41527789,94.62365591,1,1,,9.773031792,12.06743687,18.10902816,320.25,278.6958185,361.8041815,25.95108915,344.4,310.2,10.44912924,-5.376344086,346.5,349,382,347.75,,,,,,,,,0
30,5/7/2019,379,390,395,378,127407,67.71055843,83.15789474,0.897661768,0.965887256,0.988629085,12.61950952,11.93113168,17.99812534,323.2,274.391804,372.008196,30.2030916,353.1333333,316.9333333,10.80489504,-16.84210526,347.5,350,382,348.75,,,,,,,,,0
31,5/8/2019,390,375,398,375,105920,70.70662911,91.83673469,0.948229193,0.94863032,0.971505859,15.49807414,11.84775704,18.49831281,326.25,269.4103132,383.0896868,34.84425247,362.7333333,323.1333333,11.5474339,-8.163265306,349,352,382,350.5,,,,,,,,,0
32,5/9/2019,411,384,420,384,124569,75.39957388,92.30769231,1,0.94863032,0.954382632,19.43885772,12.6308325,20.24848153,331.3,264.1253024,398.4746976,40.55218691,375.4666667,329.8666667,12.93005671,-7.692307692,360,365,382,362.5,,,,,,,,,0
33,5/12/2019,452,413,452,410,153906,81.59809539,100,1,0.982743064,0.960001235,26.23893383,15.54472689,22.42363338,338.5,254.1779981,422.8220019,49.820976,392.0666667,339.0666667,14.49803957,0,376,384,382,380,,,,,,,,,0
34,5/13/2019,497,455,497,455,233284,85.82094872,100,1,1,0.977124462,35.29234611,19.67851133,24.68127004,348.05,240.5391168,455.5608832,61.7789876,410.1666667,353.1666667,14.93449782,0,398.5,406.5,398.5,402.5,,,,,,,,,0
35,5/14/2019,546,506,546,506,157535,88.82746301,100,1,1,0.994247688,46.12452383,24.40855124,27.11314303,359.95,223.9051912,495.9948088,75.59094807,434.1,371.5,15.54121152,0,423,434,423,428.5,,,,,,,,,0
36,5/15/2019,520,573,590,514,237479,79.22780671,75.35211268,0.83800546,0.94600182,0.982000607,49.58567081,22.29575857,32.00182873,370.4,219.6838429,521.1161571,81.3802144,461.9666667,386.9666667,17.66923198,-24.64788732,445,464,445,454.5,,,,,,,,,0
37,5/16/2019,572,520,572,501,245337,83.14995617,93.57142857,0.881282888,0.906429449,0.950810423,56.53200277,23.39367243,35.90164586,383.75,212.6490064,554.8509936,89.17315626,487.3666667,403.5666667,18.81173301,-6.428571429,445,472.5,445,458.75,,,,,,,,,0
38,5/19/2019,629,600,629,570,306224,86.22117155,100,0.945502242,0.88826353,0.913564933,66.27188652,26.50684495,38.21148127,399.75,201.8521728,597.6478272,99.01079533,515.2,426.4,18.86151232,0,464.5,502,464.5,483.25,,,,,,,,,0
39,5/20/2019,595,660,678,580,399171,77.18413527,77.0718232,0.718323825,0.848369651,0.881020877,67.59151266,22.26117687,44.19033314,414.25,204.1272978,624.3727022,101.4472914,545.1,444.3,20.37598545,-22.9281768,489,526.5,489,507.75,,,,,,,,,0
40,5/21/2019,585,600,608,557,118394,74.70407538,73.87640449,0.548489837,0.737438634,0.824690605,65.72380943,16.31477891,44.87129983,428.25,211.8902302,644.6097698,101.0436753,568.4333333,460.8333333,20.9080899,-26.12359551,489,531,489,510,,,,,,,,,0
41,5/22/2019,550,575,584,545,110790,66.63391472,62.35294118,0.104759624,0.457191095,0.680999793,58.92085882,7.60946264,44.38416985,440.25,224.8351676,655.6648324,97.86023049,587.2333333,476.4333333,20.83359448,-37.64705882,489,544,489,516.5,,,,,,,,,0
42,5/23/2019,547,550,579,532,73193,65.97601176,59.44272446,0,0.21774982,0.470793183,52.42941497,0.89441503,44.64575286,452.25,241.1681438,663.3318562,93.34742119,603.1,490.1,20.67325284,-40.55727554,489,566.5,489,527.75,,,,,,,,,0
43,5/26/2019,560,550,589,542,84403,67.47464492,61.05610561,0.065581531,0.056780385,0.2439071,48.09139416,-2.754884624,44.88117758,464.75,259.3101061,670.1898939,88.40877628,616.1666667,502.1666667,20.38748137,-38.94389439,489,589.5,489,539.25,,,,,,,,,0
44,5/27/2019,588,560,597,556,125398,70.4896235,70.2970297,0.197519697,0.087700409,0.120743538,47.01593794,-3.064272674,44.49305982,477.95,276.4938261,679.4061739,84.30010415,625.8,512,20.00351556,-29.7029703,490.5,589.5,489,540,,,,,,,,,0
45,5/28/2019,646,588,646,586,265038,75.54626371,89.11564626,0.418802808,0.227301346,0.12392738,51.55596974,1.180607302,46.04375384,494.25,293.7996321,694.7003679,81.11294605,637.1333333,519.3333333,20.37239869,-10.88435374,491,589.5,489,540.25,,,,,,,,,0
46,5/29/2019,679,678,710,650,298013,77.86977004,89.66666667,0.520481529,0.378934678,0.231312144,57.08843692,5.370459583,47.83937845,511.8,311.1833506,712.4166494,78.39650229,649.3666667,534.7666667,19.35592839,-10.33333333,507.5,621,505,564.25,,,,,,,,,0
47,5/30/2019,661,712,712,640,255064,73.75331452,80.15564202,0.340341744,0.426542027,0.34425935,57.50376146,4.628627302,50.25544061,527.65,332.5528191,722.7471809,73.94946685,661.7333333,546.9333333,18.996139,-19.84435798,508.5,622,506,565.25,,,,,,,,,0
48,6/2/2019,671,665,687,640,140052,74.55798527,80.56872038,0.375554857,0.412126043,0.405867583,57.48216457,3.685624326,49.92989655,543.3,355.053247,731.546753,69.29753468,666.2,553.8,18.42622951,-19.43127962,509,622,506,565.5,,,,,,,,,0
49,6/3/2019,655,673,675,650,92219,70.8170005,72.98578199,0.239118327,0.318338309,0.385668793,54.2701429,0.378882126,47.43690689,556.65,376.6619171,736.6380829,64.66831328,663.1333333,565.3333333,15.92228795,-27.01421801,511,622,506,566.5,,,,,,,,,0
