,date,adjclose,open,high,low,volume,rsi,stoch,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,macd,macddiff,volatility_atr,volatility_bbm,volatility_bbl,volatility_bbh,volatility_bbw,volatility_kch,volatility_kcl,volatility_kcw,williamr,ichibaseline,ichiconversionline,ichilinea,ichilineb,ema200
0,1/13/2019,224,224,224,224,51875,,,,,,,,0,,,,,224,224,,,,,224,,
1,1/14/2019,235,235,235,235,40,,,,,,,,0,,,,,229.5,229.5,,,,,229.5,,
2,1/15/2019,258,239,258,239,3685,,,,,,,,0,,,,,243.2222222,230.5555556,,,,,241,,
3,1/16/2019,283,270,283,270,3690,,,,,,,,0,,,,,255.3333333,239.3333333,,,,,253.5,,
4,1/17/2019,311,297,311,297,57481,,,,,,,,0,,,,,268.3333333,249.9333333,,,,,267.5,,
5,1/20/2019,292,326,342,280,729164,,,,,,,,0,,,,,284.7222222,248.7222222,,,,,283,,
6,1/21/2019,263,290,292,263,402060,,,,,,,,0,,,,,287.1428571,248,,,,,283,,
7,1/22/2019,260,258,266,237,215544,,,,,,,,0,,,,,286.6666667,245.1666667,,,,,283,,
8,1/23/2019,278,260,286,255,138859,,,,,,,,0,,,,,288.5925926,244.8148148,,,,283,283,,
9,1/24/2019,274,278,285,270,122167,,,,,,,,25.3,,,,,288.8666667,246.4666667,15.84059776,,,288.5,283,,
10,1/27/2019,267,279,279,261,121078,,,,,,,,24.57,,,,,295.1666667,249.1666667,16.90140845,,,289.5,283,,
11,1/28/2019,267,268,270,266,64461,,,,,,,,22.513,,,,,298.8333333,252.0333333,16.99140748,,,289.5,283,,
12,1/29/2019,260,267,267,258,95366,,,,,,,,21.1617,,,,,298.8333333,254.0333333,16.20643917,,,289.5,283,,
13,1/30/2019,256,259,259,256,53215,52.27333186,27.11864407,,,,,,19.44553,,,,,295.6666667,252.8666667,15.60525036,-72.88135593,,289.5,283,,
14,1/31/2019,258,259,260,253,57671,53.25860791,21.4953271,,,,,,18.200977,,,,,290.0333333,248.6333333,15.37128713,-78.5046729,,264.5,283,,
15,2/3/2019,253,258,258,251,99137,50.45433676,15.23809524,,,,,,17.0808793,,,,,279.4666667,249.0666667,11.50353179,-84.76190476,,261.5,283,,
16,2/4/2019,246,251,252,245,95226,46.74356104,8.571428571,,,,0.752061071,,16.17279137,,,,,274.7666667,248.7666667,9.932509869,-91.42857143,,265.5,283,,
17,2/5/2019,243,246,248,240,104681,45.2089493,5.714285714,,,,-0.922146168,,15.35551223,,,,,271.6,249.8,8.362102033,-94.28571429,,262.5,283,,
18,2/6/2019,238,241,242,237,67841,42.69319178,0.952380952,,,,-2.612409292,,14.41996101,,,,,265.6,249,6.451612903,-99.04761905,,258,283,,
19,2/7/2019,238,236,238,233,59821,42.69319178,8.474576271,,,,-3.716482333,,13.47796491,260.2,219.6359765,300.7640235,31.17911104,260.6,246,5.763916305,-91.52542373,,251.5,283,,
20,2/10/2019,231,237,238,229,59937,39.1553913,3.50877193,,,,-5.165804872,,13.03016842,260.55,221.1369311,299.9630689,30.253747,256.0666667,243.2666667,5.126835781,-96.49122807,,248,283,,
21,2/11/2019,232,231,237,227,61008,39.9213085,8.474576271,,,,-5.929143791,,12.72715158,260.4,220.5783978,300.2216022,30.58494791,253.1,239.1,5.688744413,-91.52542373,,243.5,283,,
22,2/12/2019,231,232,232,230,38068,39.38735769,6.896551724,,,,-6.421596777,,11.65443642,259.05,217.2147278,300.8852722,32.29899417,249.3333333,236.7333333,5.184474009,-93.10344828,,243.5,283,,
23,2/13/2019,230,230,232,229,41705,38.82808053,5.769230769,,,,-6.714611267,,10.78899278,256.4,214.2554867,298.5445133,32.87403532,246.6666667,234.0666667,5.241991402,-94.23076923,,242.5,283,,
24,2/14/2019,228,227,228,224,69612,37.67582786,8.695652174,,,,-6.973618537,-2.359234006,10.3100935,252.25,216.5799846,287.9200154,28.28147902,243.3333333,231.3333333,5.056179775,-91.30434783,,238,283,,
25,2/17/2019,226,225,231,225,45374,36.50905303,4.651162791,,,,-7.202719402,-2.070667897,9.879084149,248.95,216.5371939,281.3628061,26.03961126,240.5666667,228.7666667,5.028409091,-95.34883721,283,236,283,259.5,
26,2/18/2019,221,223,225,220,51847,33.69929002,2.5,0,,,-7.738820756,-2.0854154,9.491175734,246.85,212.9426262,280.7573738,27.47204685,237.8,226.4,4.911676002,-97.5,281,231,281,256,
27,2/19/2019,232,223,232,219,57512,43.9240501,31.70731707,0.522756475,,,-6.696154512,-0.834199326,9.842058161,245.45,211.5178618,279.3821382,27.64892089,236.7,224.3,5.379609544,-68.29268293,280.5,228.5,280.5,254.5,
28,2/20/2019,224,231,233,223,41482,39.19039537,12.82051282,0.327728441,0.283494972,,-6.698850578,-0.669516313,9.857852345,242.75,211.0900884,274.4099116,26.08437616,235.9666667,222.5666667,5.844722303,-87.17948718,280.5,228.5,280.5,254.5,
29,2/21/2019,225,222,228,222,32293,40.05996801,18.18181818,0.487622342,0.446035753,,-6.424199696,-0.315892345,9.47206711,240.3,211.2132332,269.3867668,24.2087114,234.9333333,221.3333333,5.961426067,-81.81818182,280.5,228,280.5,254.25,
30,2/24/2019,222,224,226,220,46215,38.29093633,10.34482759,0.398938509,0.404763097,0.378097941,-6.409028723,-0.240577098,9.124860399,238.05,210.6604034,265.4395966,23.01163333,233.6333333,220.6333333,5.72351042,-89.65517241,280.5,226,280.5,253.25,
31,2/25/2019,224,220,226,220,35499,40.1872586,21.73913043,0.634535043,0.507031965,0.452610272,-6.018070305,0.120305057,8.812374359,235.9,211.3325418,260.4674582,20.82870551,232.3666667,220.1666667,5.391868002,-78.26086957,255.5,226,280.5,240.75,
32,2/26/2019,223,225,225,221,34119,39.53310638,21.05263158,0.570557775,0.534677109,0.48215739,-5.710294847,0.342464412,8.331136923,234.05,211.5335616,256.5664384,19.24070792,231.7666667,219.1666667,5.588409225,-78.94736842,252.5,226,280.5,239.25,
33,2/27/2019,224,224,228,223,26460,40.57481359,26.31578947,0.672438622,0.625843813,0.555850962,-5.245405769,0.645882792,7.998023231,232.45,211.941709,252.958291,17.64533535,231.4333333,218.4333333,5.779490219,-73.68421053,252.5,226,280.5,239.25,
34,3/3/2019,222,224,225,222,40947,39.12311609,16.66666667,0.530459984,0.591152127,0.583891016,-5.016707005,0.699665245,7.498220908,230.65,213.3609861,247.9390139,14.99155764,230.9666667,218.1666667,5.699866409,-83.33333333,252,226,280.5,239,
35,3/5/2019,224,222,225,221,34518,41.38170636,35.71428571,0.751354191,0.651417599,0.622804513,-4.512502748,0.963095601,7.148398817,229.2,215.0776772,243.3223228,12.32314377,230.3666667,217.9666667,5.531598513,-64.28571429,249,226,280.5,237.5,
36,3/6/2019,226,223,226,222,25321,43.63381014,50,0.971614008,0.751142728,0.664570818,-3.830275046,1.316258643,6.833558935,228.2,216.3239737,240.0760263,10.4084367,230.5333333,218.3333333,5.435912669,-50,244.5,226.5,280.5,235.5,
37,3/7/2019,230,228,231,225,47328,47.94165693,78.57142857,1,0.907656067,0.770072131,-2.819592312,1.861553101,6.750203042,227.55,217.7423499,237.3576501,8.620215403,229.9333333,219.1333333,4.809976247,-21.42857143,243,225.5,280.5,234.25,
